algorithm,n,time
three-hashmap,167,0.06562376022338867
three-hashmap,235,0.05897212028503418
three-hashmap,235,0.07987523078918457
three-hashmap,235,0.059503793716430664
three-hashmap,235,0.05674600601196289
three-hashmap,235,0.0686497688293457
three-hashmap,332,0.05832505226135254
three-hashmap,332,0.059194087982177734
three-hashmap,332,0.058241844177246094
three-hashmap,332,0.0599820613861084
three-hashmap,332,0.058306217193603516
three-hashmap,468,0.07319903373718262
three-hashmap,468,0.06016731262207031
three-hashmap,468,0.0752861499786377
three-hashmap,468,0.059967994689941406
three-hashmap,468,0.07604312896728516
three-hashmap,660,0.06550192832946777
three-hashmap,660,0.08205795288085938
three-hashmap,660,0.06689286231994629
three-hashmap,660,0.0756068229675293
three-hashmap,660,0.06522607803344727
three-hashmap,931,0.06894898414611816
three-hashmap,931,0.07104897499084473
three-hashmap,931,0.0694270133972168
three-hashmap,931,0.0840761661529541
three-hashmap,931,0.06818103790283203
three-hashmap,1313,0.08429598808288574
three-hashmap,1313,0.07414793968200684
three-hashmap,1313,0.08640193939208984
three-hashmap,1313,0.09068703651428223
three-hashmap,1313,0.07184314727783203
three-hashmap,1852,0.09362483024597168
three-hashmap,1852,0.0823209285736084
three-hashmap,1852,0.07946610450744629
three-hashmap,1852,0.07596111297607422
three-hashmap,1852,0.09177803993225098
three-hashmap,2611,0.0961761474609375
three-hashmap,2611,0.09364914894104004
three-hashmap,2611,0.09532785415649414
three-hashmap,2611,0.09364199638366699
three-hashmap,2611,0.09616827964782715
three-hashmap,3682,0.10951399803161621
three-hashmap,3682,0.10933494567871094
three-hashmap,3682,0.11139416694641113
three-hashmap,3682,0.11177515983581543
three-hashmap,3682,0.11151909828186035
three-hashmap,5192,0.18423891067504883
three-hashmap,5192,0.18464875221252441
three-hashmap,5192,0.19294285774230957
three-hashmap,5192,0.18252110481262207
three-hashmap,5192,0.18481206893920898
three-hashmap,7321,0.23535490036010742
three-hashmap,7321,0.2452538013458252
three-hashmap,7321,0.249114990234375
three-hashmap,7321,0.24671387672424316
three-hashmap,7321,0.24908113479614258
three-hashmap,10323,0.5576398372650146
three-hashmap,10323,0.5253920555114746
three-hashmap,10323,0.5307497978210449
three-hashmap,10323,0.5269548892974854
three-hashmap,10323,0.52628493309021
three-hashmap,14556,0.7701029777526855
three-hashmap,14556,0.7842738628387451
three-hashmap,14556,0.7757570743560791
three-hashmap,14556,0.7723510265350342
three-hashmap,14556,0.7780141830444336
three-hashmap,20525,1.9084079265594482
three-hashmap,20525,1.906486988067627
three-hashmap,20525,1.9079968929290771
three-hashmap,20525,1.907437801361084
three-hashmap,20525,1.9119758605957031
three-hashmap,28940,2.913900852203369
three-hashmap,28940,2.9004740715026855
three-hashmap,28940,2.889927864074707
three-hashmap,28940,2.884382963180542
three-hashmap,28940,2.9081132411956787
three-hashmap,40805,7.457376956939697
three-hashmap,40805,7.417705059051514
three-hashmap,40805,7.43810510635376
three-hashmap,40805,7.463548183441162
three-hashmap,40805,7.437847852706909
three-hashmap,57536,11.382101058959961
three-hashmap,57536,11.432355165481567
three-hashmap,57536,11.382277011871338
three-hashmap,57536,11.39886999130249
three-hashmap,57536,11.527352094650269
